time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_D0,Current_temp_D1,Current_temp_D2,Current_temp_D3,Current_temp_D4,Current_temp_D5,Current_temp_D6,Current_temp_D7_Ableiter-/Heater,Target_temp_D0,Target_temp_D1,Target_temp_D2,Target_temp_D3,Target_temp_D4,Target_temp_D5,Target_temp_D6,Target_temp_D7_Ableiter-/Heater,kp_D0,kp_D1,kp_D2,kp_D3,kp_D4,kp_D5,kp_D6,kp_D7_Ableiter-/Heater,ki_D0,ki_D1,ki_D2,ki_D3,ki_D4,ki_D5,ki_D6,ki_D7_Ableiter-/Heater,kd_D0,kd_D1,kd_D2,kd_D3,kd_D4,kd_D5,kd_D6,kd_D7_Ableiter-/Heater,Output_D0,Output_D1,Output_D2,Output_D3,Output_D4,Output_D5,Output_D6,Output_D7_Ableiter-/Heater,BaSyTec Line.Loop_D0,BaSyTec Line.Loop_D1,BaSyTec Line.Loop_D2,BaSyTec Line.Loop_D3,BaSyTec Line.Loop_D4,BaSyTec Line.Loop_D5,BaSyTec Line.Loop_D6,BaSyTec Line.Loop_D7_Ableiter-/Heater
20250128 _164558,45685.6985936458,1738082758.49198,00:00:00,25,25,25,25.01,24.99,24.99,25,24.72,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.09,10.52,10.6,11.28,11.75,12.33,10.67,32.31,.,.,.,.,.,.,.,.
20250128 _164559,45685.6986053704,1738082759.50461,00:00:00,25,25,24.99,25,25,24.99,24.99,25.27,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.09,12.43,10.87,11.33,11.66,10.54,10.82,-37.99,.,.,.,.,.,.,.,.
20250128 _164600,45685.6986170949,1738082760.51783,00:00:00,25,25,24.99,24.99,25,25,25,24.75,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.08,12.65,10.82,13.35,11.56,8.39,10.76,14.19,.,.,.,.,.,.,.,.
20250128 _164601,45685.6986286806,1738082761.51887,00:00:00,25,24.99,25,25,25,25.01,25,25.03,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.07,12.8,10.62,11.57,11.55,10.13,10.66,-27.94,.,.,.,.,.,.,.,.
20250128 _164602,45685.698640544,1738082762.54302,00:00:00,25.01,25,25,25,25,25,25.01,24.9,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.95,12.74,10.59,9.65,11.54,10.2,10.53,41.69,.,.,.,.,.,.,.,.
20250128 _164603,45685.6986522685,1738082763.55634,00:00:00,25.01,25,25,25.01,25,25,25.01,25.16,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.92,12.52,10.56,11.23,11.53,10.4,12.3,-47.25,.,.,.,.,.,.,.,.
20250128 _164604,45685.6986640162,1738082764.57118,00:00:00,25,25.01,24.99,25,25.01,25,25,24.79,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.13,12.36,10.8,11.29,11.38,10.43,10.57,49.08,.,.,.,.,.,.,.,.
20250128 _164605,45685.6986757176,1738082765.58284,00:00:00,24.99,25,24.99,25,25,25,24.99,25.26,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.4,12.42,10.84,11.5,11.46,10.22,10.8,-58.04,.,.,.,.,.,.,.,.
20250128 _164606,45685.6986873148,1738082766.58475,00:00:00,24.99,25,25.01,24.99,24.99,25,24.99,24.71,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.37,12.65,10.49,11.65,11.71,10.19,10.87,48.62,.,.,.,.,.,.,.,.
20250128 _164607,45685.6986989815,1738082767.59219,00:00:00,24.99,24.99,25.01,25,24.99,25,25,24.76,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.3,12.79,10.33,11.57,11.87,12.13,8.86,20.62,.,.,.,.,.,.,.,.
