time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_C0,Current_temp_C1,Current_temp_C2,Current_temp_C3,Current_temp_C4,Current_temp_C5,Current_temp_C6,Current_temp_C7_Ableiterplus,Target_temp_C0,Target_temp_C1,Target_temp_C2,Target_temp_C3,Target_temp_C4,Target_temp_C5,Target_temp_C6,Target_temp_C7_Ableiterplus,kp_C0,kp_C1,kp_C2,kp_C3,kp_C4,kp_C5,kp_C6,kp_C7_Ableiterplus,ki_C0,ki_C1,ki_C2,ki_C3,ki_C4,ki_C5,ki_C6,ki_C7_Ableiterplus,kd_C0,kd_C1,kd_C2,kd_C3,kd_C4,kd_C5,kd_C6,kd_C7_Ableiterplus,Output_C0,Output_C1,Output_C2,Output_C3,Output_C4,Output_C5,Output_C6,Output_C7_Ableiterplus,BaSyTec Line.Loop_C0,BaSyTec Line.Loop_C1,BaSyTec Line.Loop_C2,BaSyTec Line.Loop_C3,BaSyTec Line.Loop_C4,BaSyTec Line.Loop_C5,BaSyTec Line.Loop_C6,BaSyTec Line.Loop_C7_Ableiterplus
20250328 _151352,45744.6346350231,1743174832.46671,00:00:00,24.99,25,24.99,25.01,24.99,25,25,24.92,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,13.06,10.89,13.01,9.25,11.16,10.85,10.06,14.36,.,.,.,.,.,.,.,.
20250328 _151353,45744.6346466204,1743174833.46826,00:00:00,25,25,24.99,25,25,25.01,25.01,24.9,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.75,11.01,11.42,12.78,10.96,12.38,9.99,20.37,.,.,.,.,.,.,.,.
20250328 _151354,45744.6346584838,1743174834.49345,00:00:00,25.01,25,24.99,25,25.01,25,25.01,25.01,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.58,11.04,11.36,11.02,10.82,10.73,11.33,-3.17,.,.,.,.,.,.,.,.
20250328 _151355,45744.6346700926,1743174835.49636,00:00:00,25,25,25,24.99,25,25,25.01,25.1,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.66,11.06,11.28,13.11,10.9,12.62,11.31,-5.67,.,.,.,.,.,.,.,.
20250328 _151356,45744.6346816782,1743174836.49796,00:00:00,24.99,25,25,25,24.99,25,25,24.99,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,13,10.84,11.17,9.45,11.12,10.96,12.79,19.72,.,.,.,.,.,.,.,.
20250328 _151357,45744.6346934144,1743174837.51187,00:00:00,24.99,25,25,25,25,25,24.99,24.9,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.97,12.56,11.27,11.22,9.35,12.65,11.43,22.53,.,.,.,.,.,.,.,.
20250328 _151358,45744.6347050463,1743174838.51613,00:00:00,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.73,10.99,11.17,11.1,10.94,10.98,11.45,-2.25,.,.,.,.,.,.,.,.
20250328 _151359,45744.6347166204,1743174839.51606,00:00:00,25.01,25,25,25,25.01,25,25,24.97,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.58,11.01,11.17,11.09,10.81,11,11.46,6.02,.,.,.,.,.,.,.,.
20250328 _151400,45744.634728206,1743174840.5175,00:00:00,25,25,25.01,25,25,25,25.01,25.09,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.65,11.04,11.03,11.07,11,10.89,11.32,-5.81,.,.,.,.,.,.,.,.
20250328 _151401,45744.6347400231,1743174841.53856,00:00:00,24.99,25,25,25,24.99,25,25.01,25.03,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.9,11.07,11.11,11.06,11.13,11.03,11.3,10.02,.,.,.,.,.,.,.,.
