time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_B0,Current_temp_B1,Current_temp_B2,Current_temp_B3,Current_temp_B4,Current_temp_B5,Current_temp_B6,Current_temp_Ch8,Target_temp_B0,Target_temp_B1,Target_temp_B2,Target_temp_B3,Target_temp_B4,Target_temp_B5,Target_temp_B6,Target_temp_Ch8,kp_B0,kp_B1,kp_B2,kp_B3,kp_B4,kp_B5,kp_B6,kp_Ch8,ki_B0,ki_B1,ki_B2,ki_B3,ki_B4,ki_B5,ki_B6,ki_Ch8,kd_B0,kd_B1,kd_B2,kd_B3,kd_B4,kd_B5,kd_B6,kd_Ch8,Output_B0,Output_B1,Output_B2,Output_B3,Output_B4,Output_B5,Output_B6,Output_Ch8,BaSyTec Line.Loop_B0,BaSyTec Line.Loop_B1,BaSyTec Line.Loop_B2,BaSyTec Line.Loop_B3,BaSyTec Line.Loop_B4,BaSyTec Line.Loop_B5,BaSyTec Line.Loop_B6,BaSyTec Line.Loop_Ch8
20250210 _144003,45698.6111542477,1739198403.72768,00:00:00,24.99,24.99,24.99,24.99,25,25.13,25.01,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.29,6.72,8.14,6.34,8.13,-2.52,8.16,0,.,.,.,.,.,.,.,.
20250210 _144004,45698.6111659954,1739198404.74248,00:00:00,24.98,24.99,25,25,25,25.17,24.99,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.58,6.82,6.92,6.13,8.26,7.19,8.48,0,.,.,.,.,.,.,.,.
20250210 _144005,45698.6111776852,1739198405.75263,00:00:00,24.99,25.02,25.01,25.01,25,24.84,25,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.43,6.28,6.67,6.01,8.21,18.77,8.42,0,.,.,.,.,.,.,.,.
20250210 _144006,45698.611189294,1739198406.75542,00:00:00,25.01,25.01,25.01,25,25,24.86,25.01,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.05,6.26,8.95,6.04,8.28,5.34,8.08,0,.,.,.,.,.,.,.,.
20250210 _144007,45698.6112009259,1739198407.76023,00:00:00,25.01,24.99,25,25,24.99,25.13,25.01,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7,6.79,7.96,6.12,8.36,-2.85,8.14,0,.,.,.,.,.,.,.,.
20250210 _144008,45698.6112125926,1739198408.76883,00:00:00,25,24.99,25,25,25.01,25.17,24.99,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.19,5.58,7.99,6.2,7.16,9.24,8.46,0,.,.,.,.,.,.,.,.
20250210 _144009,45698.611224294,1739198409.77994,00:00:00,24.99,25.02,25.01,25,25.02,24.84,25,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.45,5.06,7.74,5.09,7.78,19.02,6.64,0,.,.,.,.,.,.,.,.
20250210 _144010,45698.6112359722,1739198410.78845,00:00:00,25,25.01,25.01,24.99,25.01,24.86,25.01,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.35,6.27,7.67,6.3,7.95,5.23,8.06,0,.,.,.,.,.,.,.,.
20250210 _144011,45698.6112477199,1739198411.80387,00:00:00,25,24.99,24.99,24.99,24.99,25.2,25,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,8.54,6.81,7.96,6.34,8.28,-3.45,8.22,0,.,.,.,.,.,.,.,.
20250210 _144012,45698.6112594097,1739198412.81379,00:00:00,25,24.99,24.99,25,24.99,25.18,25,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.19,6.88,8.07,5.07,8.26,6.98,6.69,0,.,.,.,.,.,.,.,.
