time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_A0,Current_temp_A1,Current_temp_A2,Current_temp_A3,Current_temp_A4,Current_temp_A5,Current_temp_A6,Current_temp_A7/A2,Target_temp_A0,Target_temp_A1,Target_temp_A2,Target_temp_A3,Target_temp_A4,Target_temp_A5,Target_temp_A6,Target_temp_A7/A2,kp_A0,kp_A1,kp_A2,kp_A3,kp_A4,kp_A5,kp_A6,kp_A7/A2,ki_A0,ki_A1,ki_A2,ki_A3,ki_A4,ki_A5,ki_A6,ki_A7/A2,kd_A0,kd_A1,kd_A2,kd_A3,kd_A4,kd_A5,kd_A6,kd_A7/A2,Output_A0,Output_A1,Output_A2,Output_A3,Output_A4,Output_A5,Output_A6,Output_A7/A2,BaSyTec Line.Loop_A0,BaSyTec Line.Loop_A1,BaSyTec Line.Loop_A2,BaSyTec Line.Loop_A3,BaSyTec Line.Loop_A4,BaSyTec Line.Loop_A5,BaSyTec Line.Loop_A6,BaSyTec Line.Loop_A7/A2
20250210 _144005,45698.6111769792,1739198405.69143,00:00:00,25,25.08,25,25.01,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.08,0,11.46,7.58,11.81,11.69,10.52,9.81,.,.,.,.,.,.,.,.
20250210 _144006,45698.611188588,1739198406.69416,00:00:00,25.01,25.08,25,25.02,25,25,25,25.01,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,9.28,0,11.25,9.45,11.84,11.71,10.62,9.65,.,.,.,.,.,.,.,.
20250210 _144007,45698.6112002083,1739198407.69841,00:00:00,25.01,25.07,25.01,24.99,25,25,24.99,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.89,0,12.94,10.25,11.73,11.7,10.92,9.87,.,.,.,.,.,.,.,.
20250210 _144008,45698.6112118981,1739198408.70801,00:00:00,25,25.07,25,24.98,25.01,25,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.09,0,11.15,8.52,11.45,11.59,8.74,8.31,.,.,.,.,.,.,.,.
20250210 _144009,45698.611223588,1739198409.7185,00:00:00,25,25.08,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.1,0,11.25,10.07,11.54,11.57,10.72,9.83,.,.,.,.,.,.,.,.
20250210 _144010,45698.6112352662,1739198410.72779,00:00:00,25,25.08,25,25.02,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.12,0,13.1,11.53,11.64,11.55,10.54,9.8,.,.,.,.,.,.,.,.
20250210 _144011,45698.6112470139,1739198411.74248,00:00:00,25.01,25.07,25,24.99,25,25.01,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.72,0,11.11,12.41,13.78,11.42,10.81,10.03,.,.,.,.,.,.,.,.
20250210 _144012,45698.6112586921,1739198412.75167,00:00:00,25,25.07,25,24.98,25,25.01,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.88,0,9.24,10.8,11.65,11.37,10.85,8.37,.,.,.,.,.,.,.,.
20250210 _144013,45698.6112704398,1739198413.76626,00:00:00,24.99,25.08,25,25.01,25,25,25,25.01,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.13,0,11.2,9.91,11.64,11.54,10.58,8.06,.,.,.,.,.,.,.,.
20250210 _144014,45698.6112820486,1739198414.76951,00:00:00,24.99,25.08,25,25.02,25,25,25,25.01,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.18,0,11.19,9.22,11.64,11.66,10.52,9.73,.,.,.,.,.,.,.,.
20250210 _144015,45698.6112937731,1739198415.78246,00:00:00,25,25.08,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.97,0,13.04,12.08,11.64,11.57,10.62,9.8,.,.,.,.,.,.,.,.
20250210 _144016,45698.611305463,1739198416.79246,00:00:00,25.01,25.07,25,24.98,25,25,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.69,0,11.04,10.72,11.63,11.45,10.77,10.04,.,.,.,.,.,.,.,.
